name,stars,text,timeSince,openStatus,key
Linda Jimenez-Griffin,1.0,I was very disappointed today to find that Kalamata Olives have been taken off the menu options!!! This item choice took pizza here a few steps above other pizza joints. Is the item too pricey? I’ll pay extra for better options. It really ruined our meal today. Not sure I can convince my daughter to go back now.,2 years ago,Open,209
Francy Paola Orozco,5.0,The best family experience!!,10 months ago,Open,209
Stephanie Tanaka Chang,5.0,"Our school had a fundraiser last night and the employees at Blaze were friendly and fast getting all of our orders out. The food was great, we were able to customize our orders from crust to toppings and we all had a great time!",a year ago,Open,209
francesca gerali,5.0,Fast and furious ...always a good pit stop while up and about in Pasadena ....staff is awesome and efficient...it s often busy but they still manage to keep the waiting time short..,a year ago,Open,209
Peter B,3.0,"Great, fresh, pizza, served with a hipster, yuppie atmosphere. Yes, I used those words to describe it.",2 years ago,Open,209
Joseph Florence,5.0,Overall really great pizza. It's mainly build your own style but there are built options too. …More,4 years ago,Open,209
CARLA SANABRIA,5.0,My daughter's favorite place for pie,a year ago,Open,209
Penny Jones,5.0,Great pizza! Loved being able to customize my order with healthy toppings.,2 years ago,Open,209
Kyle Brabender,5.0,Pretty good gluten free pizza. Honestly just glad they have the option. The staff is always accommodating. They're the reason for the 5th star. The Pasadena Colorado location staff is stellar.,2 years ago,Open,209
Bappo Snappo,3.0,"When you pick up the plates they're piping hot and you're forced to carry them while its burning hot, there aren't any plates, and the pizza is cut poorly.",a year ago,Open,209
StyxFan 2002,5.0,"Great, quick service with friendly staff and clean public restrooms. Also, process aren't too bad.",a year ago,Open,209
Shiang L,5.0,Build your own! Need I say more,a year ago,Open,209
sharikak 54,5.0,Blood orange lemonade is the best!  This is the only place I know that makes their lemonade sweet enough ;)  Their pizza is pretty good too!,2 years ago,Open,209
Maribel montiel,5.0,Delicious pizzas,5 months ago,Open,209
Jena Deschene,5.0,Just moved to the area and I love Blaze pizza. With all the topping options you can create any type of pizza you want. I love the fact they have gluten free dough.,2 years ago,Open,209
Susie Lopez,5.0,Loved that they are trying out sippy cup tops for their drinks instead of straws.,a year ago,Open,209
Alex Sauers,5.0,"Had a simple pie and a rootbeer. Great experience; fast and friendly service, fair price, and very tasty. Perfect for a quick lunch with my family.",2 years ago,Open,209
Ethan Paulson,5.0,"Had a great experience here at Blaze for my first time there a week ago. Staff was super friendly, and the food is quite good. They do unlimited toppings here which kind of means you need to exhibit a bit of self control to not fill your pizza up too much! Definitely recommend as a casual eatery in Pasadena.",4 years ago,Open,209
Oof this account is gone Go search iriex again noob,5.0,"Very nice staff, polite",11 months ago,Open,209
David VanderVelde,4.0,"Excellent value for money--you can get a somewhat better pizza in Pasadena for twice the price. At their price point, very hard to beat. The Green Stripe is outstanding.",3 years ago,Open,209
Linda Christie,5.0,Always good!! Real quick service...,a year ago,Open,209
Xuan Hua,5.0,"Love the concept! Service is friendly and expedient. The pizza is consistently cooked well, with fresh ingredients to choose from. I am still amazed that the pizza is cooked so quickly, but the end result doesn't taste like it was just …More",5 years ago,Open,209
Shawn Miltimore,5.0,first time and loved it,11 months ago,Open,209
Raquel Hunter,5.0,Blaze pizza is simply really good fire-grilled pizza and the line of patrons extending outside the door says it all. …More,7 years ago,Open,209
Shauna Wilkes,5.0,"Fresh pizza with fresh ingredients, cooked to perfection. Unlike any take out/delivery pizza place that we are used to.",a year ago,Open,209
Luis Héctor Sánchez Esteban,5.0,"Make your ouwn pizza, so fun¡",a year ago,Open,209
Michael Acosta,5.0,Great experience and good customer service.,a year ago,Open,209
Lorna E. Freeman-Simpson,5.0,Fantastic place for pizza.,a year ago,Open,209
Ebony McClinton,5.0,"Get service. The servers are very nice and respectful, they listen while they're fixing your pizza. They are also very polite to their customers. The place over all is very clean and the workers are always hands on.",2 years ago,Open,209
Abhishek Konchada,4.0,Fresh pizza thin crust and good salad.,a year ago,Open,209
